Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
1. Add Campaign - Step 2 Payout Core,PAY-F-001,"Verify Visibility toggles: Public, Private (Affiliate select), Group, Ask For Permission",P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-002,Verify selecting 'CPA' allows setting FTD and Registration variables,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-003,Verify selecting 'Rev Share' allows setting FTD and NGR percentage variables,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-004,Verify selecting 'Hybrid' shows both CPA amount and Rev Share percentage fields,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-005,Verify Currency dropdown sets the correct currency symbol on the input field,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-006,Verify Validation: Payout amount cannot be negative,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Campaign - Step 2 Geo Coverage,PAY-F-007,Verify selecting 'Global/All' disables individual country selection,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Campaign - Step 2 Geo Coverage,PAY-F-008,Verify deselecting 'Global/All' allows multi-select of specific countries,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Campaign - Step 2 Geo Coverage,PAY-F-009,Verify searching for a country in the Geo multi-select dropdown,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Add Campaign - Step 2 Advanced Conditions,PAY-F-010,"Verify enabling QFTD toggle displays Operator, Variable (Bets), Days, and threshold fields",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Add Campaign - Step 2 Advanced Conditions,PAY-F-011,"Verify enabling Bonus toggle displays Bonus Payout, Value, and Days condition fields",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Add Campaign - Step 2 Advanced Conditions,PAY-F-012,Verify disabling QFTD/Bonus hides and clears their respective fields,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Manage Campaign - Payouts Tab Overview,PAY-F-013,Verify the Payouts tab loads the default Campaign payout rule created in Step 2,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Manage Campaign - Payouts Tab Overview,PAY-F-014,"Verify default payout rule cannot be deleted, only edited",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Manage Campaign - Payouts Tab Overview,PAY-F-015,"Verify Payout grid displays Affiliate, Geo, Model, Value, and Status columns",P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
5. Add New Payout Override (Targeting),PAY-F-016,Verify 'Add New Payout' modal opens on clicking the button,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
5. Add New Payout Override (Targeting),PAY-F-017,Verify selecting specific Affiliate(s) applies the payout override to them only,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
5. Add New Payout Override (Targeting),PAY-F-018,Verify selecting specific Geo(s) applies the payout override to that traffic only,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
5. Add New Payout Override (Targeting),PAY-F-019,Verify selecting Product-wise payouts applies the rule only to specific products,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
5. Add New Payout Override (Targeting),PAY-F-020,Verify conflict resolution: Traffic from an Affiliate (with override) in a Geo (with override),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
6. Add New Payout Override (Rules Accordion),PAY-F-021,"Verify enabling Tiered Payouts allows adding multiple volume tiers (e.g. 0-50 = $10, 51+ = $15)",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
6. Add New Payout Override (Rules Accordion),PAY-F-022,Verify overlapping tier ranges throw a validation error,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
6. Add New Payout Override (Rules Accordion),PAY-F-023,Verify setting an Effective Date/Start Date for a temporary payout override,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
6. Add New Payout Override (Rules Accordion),PAY-F-024,"Verify dynamic rules: Variable & Operator conditions (e.g., FTD > 10)",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
7. Payout Updates & Audits,PAY-F-025,Verify editing an active payout override updates immediately for new traffic,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
7. Payout Updates & Audits,PAY-F-026,Verify deleting a payout override removes it from grid and reverts traffic rules,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-027,Verify CPA payout with 'Registration' variable hides QFTD toggle (QFTD requires deposit),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-028,Verify CPA payout with 'FTD' variable + QFTD enabled + Bonus disabled saves correctly,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-029,Verify CPA payout with 'FTD' variable + QFTD disabled + Bonus enabled saves correctly,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
