Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
Campaign Access,CA-TC-001,Verify 'Campaign Access' tab loads correctly displaying the access permissions grid,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-002,"Verify data table columns: Campaign Details, Affiliate, Status, Note, Modified Date are visible",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-003,Verify 'Copy' icon next to Campaign ID and Affiliate ID successfully copies the ID to clipboard,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-004,Verify there are no 'Add Access' or 'Bulk Action' buttons present on this tab,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-005,Verify clicking the 'Filter' icon opens the Filter Drawer,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-006,"Verify Filter Drawer contains Campaign ID (multi-select), Affiliate (single-select), and Status (single-select) fields",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-007,Verify filtering by a single Campaign ID correctly filters the grid,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-008,Verify filtering by multiple Campaign IDs correctly filters the grid,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-009,Verify filtering by a specific Affiliate correctly filters the grid,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-010,Verify filtering by Status correctly filters the grid,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-011,Verify combining multiple filters (Campaign ID + Affiliate + Status) returns accurate results,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-012,Verify clicking 'Search' inside the drawer applies the selected filters,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Campaign Access,CA-TC-013,Verify clearing filters resets the grid to default view,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
