Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
CPA - FTD,MATH-PAY-001,Var:FTD|Mod:None|Behav:Action Fail,P0,Execute step for CPA FTD with None and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-002,Var:FTD|Mod:None|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with None and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-003,Var:FTD|Mod:None|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with None and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-004,"Var:FTD|Mod:None|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with None and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-005,Var:FTD|Mod:QFTD Flat|Behav:Action Fail,P0,Execute step for CPA FTD with QFTD Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-006,Var:FTD|Mod:QFTD Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with QFTD Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-007,Var:FTD|Mod:QFTD Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with QFTD Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-008,"Var:FTD|Mod:QFTD Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with QFTD Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-009,Var:FTD|Mod:QFTD %|Behav:Action Fail,P0,Execute step for CPA FTD with QFTD % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-010,Var:FTD|Mod:QFTD %|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with QFTD % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-011,Var:FTD|Mod:QFTD %|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with QFTD % and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - FTD,MATH-PAY-012,"Var:FTD|Mod:QFTD %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with QFTD % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $10.00,,Pending,
CPA - FTD,MATH-PAY-013,Var:FTD|Mod:Bonus Flat|Behav:Action Fail,P0,Execute step for CPA FTD with Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-014,Var:FTD|Mod:Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with Bonus Flat and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-015,Var:FTD|Mod:Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with Bonus Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-016,"Var:FTD|Mod:Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $65.00,,Pending,
