Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
1. Brands Dashboard UI,BD-UI-001,Verify Manage Brands page title is visible,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-002,Verify All Brands tab is present and clickable,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-003,Verify All Products tab is present and clickable,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-004,Verify Add Brand button is highlighted,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-005,Verify Add Brand button is accessible via keyboard,P0,Execute step per TC description,System behaves as expected without errors.,,Remove,
1. Brands Dashboard UI,BD-UI-006,Verify Filter icon is present,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-007,Verify Search bar is present,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-008,Verify Search bar placeholder text,P0,Execute step per TC description,System behaves as expected without errors.,Search Panel,Pending,
1. Brands Dashboard UI,BD-UI-009,Verify column headers: NAME,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-010,Verify column headers: CONTACT DETAILS,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-011,Verify column headers: COMPANY,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-012,Verify column headers: STATUS,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-013,Verify column headers: GEO,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-014,Verify column headers: CREATED ON,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-015,Verify column headers: ACTIONS,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-016,Verify Brand ID is displayed,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-017,Verify Email icon in contact details,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-018,Verify Phone icon in contact details,P1,Execute step per TC description,System behaves as expected without errors.,,Need clarification,
1. Brands Dashboard UI,BD-UI-019,Verify Active status badge color,P1,Execute step per TC description,must be green,,Pending,
