Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
Category,CAT-TC-001,Verify 'Category' tab loads correctly displaying the categories list,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-002,"Verify data table columns: Checkbox, ID, Name, Created On, Updated On, Actions are visible",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-003,Verify 'Add Category' and 'Bulk Action' buttons are present,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-004,Verify clicking '+ Add Category' opens the modal to create a new category,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-005,Verify 'Add Category' modal contains 'Category Name *' input field and Cancel/Submit buttons,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-006,Verify submitting without entering a Category Name shows validation error,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-007,Verify submitting with a Category Name of less than 3 characters shows validation error,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-008,Verify successfully creating a new Category with a valid name,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-009,Verify clicking 'Cancel' or 'X' closes the modal without creating the category,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-010,Verify clicking 'Edit' action opens the modal to modify the Category name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-011,Verify saving changes updates the category name in the grid,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-012,Verify clicking 'Delete' action prompts a confirmation,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-013,Verify deleting a Category successfully removes it from the grid,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-014,Verify selecting one or more checkboxes enables the 'Bulk Action' dropdown,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-015,Verify 'Bulk Action' dropdown contains 'Delete' option,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-016,Verify selecting 'Delete' from Bulk Action triggers a confirmation process,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Category,CAT-TC-017,Verify confirming the Bulk Delete action successfully removes selected categories,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
