Module,TC ID,Test Case Description,Priority,Execution Steps,Expected Result,Actual Result,Status
1. Brands Dashboard,HL-BD-001,Verify complete UI rendering of the Manage Brands Dashboard,P1,"1. Navigate to Manage Brands. 2. Verify tabs, search bar, filter icon, columns, pagination controls, empty states, and accessibility focus.",All UI elements render correctly without overlap. Keyboard navigation functions flawlessly.,,Pending
1. Brands Dashboard,HL-BD-002,Verify List Data Accuracy and Formatting,P1,"1. Inspect the loaded brand list. 2. Verify Status badges (Green/Grey), date formatting, email/phone icons, and ID string alignments.",Data formats exactly match design specs. Tooltips display for truncated data.,,Pending
1. Brands Dashboard,HL-BD-003,Verify advanced table interactions (Sorting & Pagination),P2,1. Click column headers to sort. 2. Change 'items per page'. 3. Click next/previous pages. 4. Verify URL query updates.,List sorts accurately ascending/descending. Pagination fetches correct datasets. URL updates seamlessly.,,Pending
2. Brand Management,HL-BR-001,Verify successful creation of a Brand (Happy Path),P0,1. Open 'Add Brand' modal. 2. Fill all mandatory AND optional fields. 3. Submit and verify in Dashboard.,"Brand is created successfully, success toast appears, and it is immediately visible in the active list.",,Pending
2. Brand Management,HL-BR-002,Verify Brand Creation Validation and Boundary constraints,P0,1. Attempt to save with empty mandatory fields. 2. Enter >255 chars in Name. 3. Use an existing Brand name. 4. Enter invalid email.,"System prevents creation and displays accurate, localized error messages for each constraint.",,Pending
2. Brand Management,HL-BR-003,Verify end-to-end Brand Editing flow,P0,1. Click Manage on a brand. 2. Update status to Inactive. 3. Modify contact details. 4. Verify 'View Change Timeline'.,Changes save successfully. Timeline tracks the modification audit log. Status badge updates in the main list.,,Pending
2. Brand Management,HL-BR-004,Verify security & edge cases during Brand updates,P1,1. Inject XSS `<script>` tags in Name. 2. Attempt SQLi strings. 3. Try saving after simulating a session timeout.,Inputs are heavily sanitized (no script execution). Session timeout redirects user to login gracefully.,,Pending
3. Product Management,HL-PR-001,Verify E2E Product Creation mapped to a specific Brand,P0,1. Navigate to All Products. 2. Open Add Product. 3. Map to an existing Brand ID. 4. Submit.,Product is created and firmly linked to the selected Brand. Dropdown search functions correctly.,,Pending
3. Product Management,HL-PR-002,Verify Product State Management and Constraints,P1,1. Edit an existing product. 2. Toggle Status to Inactive. 3. Attempt to create a duplicate product name within the SAME brand.,Status toggles successfully. Duplicate names under the same brand are strictly rejected.,,Pending
4. Filters & Search,HL-FL-001,Verify Filter Drawer functionality with multi-parameters,P0,1. Open Drawer. 2. Select multiple Brand IDs + Status = Active + partial Email. 3. Apply filter.,List refines to show ONLY results matching all combined criteria. Clearing filters resets the list entirely.,,Pending
4. Filters & Search,HL-FL-002,Verify Global Search bar logic and edge cases,P1,1. Search by partial Brand Name. 2. Search by numeric Brand ID. 3. Search with special characters. 4. Search for non-existent brand.,Search debounce works smoothly. Accurately returns matches or displays 'No Results Found' empty state.,,Pending
5. Bulk Upload (CSV),HL-CSV-001,Verify complete Happy Path for Bulk Upload,P0,"1. Download sample CSV. 2. Populate 100 rows of valid data. 3. Upload file, map headers, and Submit.",File uploads without errors. Progress bar completes. Dashboard accurately reflects the 100 new brands.,,Pending
5. Bulk Upload (CSV),HL-CSV-002,Verify Bulk Upload format and size strictness,P1,1. Upload a .PDF or .XLSX file. 2. Upload a CSV larger than 10MB. 3. Upload a completely blank CSV.,System rejects invalid files immediately at Step 1 with clear size/format validation errors.,,Pending
5. Bulk Upload (CSV),HL-CSV-003,Verify Partial Success and Error Log generation,P1,1. Upload a CSV where 5 rows lack mandatory fields and 2 rows are duplicates. 2. Submit.,"System imports valid rows, marks process as 'Partial Success', and provides a downloadable Error Log detailing failed rows.",,Pending
6. Notifications,HL-NT-001,Verify E2E Notification Creation and Targeting,P1,"1. Create New Notification. 2. Target specific users, exclude others. 3. Attach a file. 4. Submit.",Notification broadcasts successfully. Only targeted (and non-excluded) users receive the alert.,,Pending
6. Notifications,HL-NT-002,Verify System Auto-Triggers (Brand Deletion & Caps),P1,1. Delete a Brand in the system. 2. Simulate reaching a Click Cap. 3. Check notifications list.,System automatically generates and logs the 'Brand Deleted' and 'Click Cap Reached' notifications instantly.,,Pending
7. API & Integration,HL-API-001,Verify core API Endpoints behavior (Brands/Products),P0,1. Execute GET/POST/PATCH via Postman. 2. Pass invalid x-api-key. 3. Pass missing schema fields.,"Returns exact HTTP codes (200 OK, 201 Created, 401 Unauthorized, 400 Bad Request) with accurate JSON structures.",,Pending
8. Reporting & Logs,HL-RPT-001,Verify Brand Report data alignment and exports,P1,1. Filter Brand Report by Last 7 Days. 2. Cross-verify 'Clicks' against Click Report. 3. Export to Excel.,Data precisely matches underlying tracking numbers. Excel export completes successfully with formatted columns.,,Pending
8. Reporting & Logs,HL-RPT-002,Verify Activity Log accurately captures Brand events,P1,"1. Create a brand, edit it, then delete it. 2. Open Activity Logs and filter by today.","Every action is logged immutably with exact Timestamp, User IP, and Event Type details.",,Pending
